ph_mode,metric,n_joined,mean_transition_epoch_abs_error,median_transition_epoch_abs_error,max_transition_epoch_abs_error
landmark_vr,total_persistence_h1,64,8.53125,4.0,42.0
landmark_vr,max_persistence_h1,64,6.875,3.0,46.0
landmark_vr,top5_persistence_h1,64,7.4375,4.0,30.0
landmark_vr,betti_curve_area_h1,64,11.5625,6.0,40.0
landmark_vr,betti_curve_peak_h1,64,15.84375,6.0,48.0
landmark_vr,betti_curve_change_h1,64,0.875,0.0,6.0
fixed_support_vr,total_persistence_h1,64,9.3125,2.0,48.0
fixed_support_vr,max_persistence_h1,64,12.875,4.0,44.0
fixed_support_vr,top5_persistence_h1,64,14.5,6.0,42.0
fixed_support_vr,betti_curve_area_h1,64,8.4375,2.0,48.0
fixed_support_vr,betti_curve_peak_h1,64,23.21875,23.0,48.0
fixed_support_vr,betti_curve_change_h1,64,19.9375,14.0,48.0
fixed_knn_vr,total_persistence_h1,64,11.5,2.0,48.0
fixed_knn_vr,max_persistence_h1,64,10.625,4.0,44.0
fixed_knn_vr,top5_persistence_h1,64,13.75,5.0,42.0
fixed_knn_vr,betti_curve_area_h1,64,9.9375,2.0,48.0
fixed_knn_vr,betti_curve_peak_h1,64,20.96875,11.0,48.0
fixed_knn_vr,betti_curve_change_h1,64,14.1875,10.0,48.0
skip_vr,total_persistence_h1,64,1.0625,0.0,28.0
skip_vr,max_persistence_h1,64,0.0,0.0,0.0
skip_vr,top5_persistence_h1,64,0.0,0.0,0.0
skip_vr,betti_curve_area_h1,64,1.59375,0.0,38.0
skip_vr,betti_curve_peak_h1,64,1.09375,0.0,30.0
skip_vr,betti_curve_change_h1,64,0.0,0.0,0.0
event_driven,total_persistence_h1,64,2.21875,0.0,38.0
event_driven,max_persistence_h1,64,1.0625,0.0,16.0
event_driven,top5_persistence_h1,64,0.8125,0.0,16.0
event_driven,betti_curve_area_h1,64,1.59375,0.0,34.0
event_driven,betti_curve_peak_h1,64,2.25,0.0,32.0
event_driven,betti_curve_change_h1,64,0.28125,0.0,4.0
online_landmark_event,total_persistence_h1,64,10.5,2.0,44.0
online_landmark_event,max_persistence_h1,64,9.6875,4.0,42.0
online_landmark_event,top5_persistence_h1,64,8.375,6.0,42.0
online_landmark_event,betti_curve_area_h1,64,8.375,2.0,48.0
online_landmark_event,betti_curve_peak_h1,64,21.09375,16.0,48.0
online_landmark_event,betti_curve_change_h1,64,17.1875,14.0,48.0
online_landmark_dynamic_support,total_persistence_h1,64,10.625,4.0,48.0
online_landmark_dynamic_support,max_persistence_h1,64,9.0,4.0,40.0
online_landmark_dynamic_support,top5_persistence_h1,64,10.125,7.0,38.0
online_landmark_dynamic_support,betti_curve_area_h1,64,11.75,6.0,40.0
online_landmark_dynamic_support,betti_curve_peak_h1,64,17.40625,8.0,48.0
online_landmark_dynamic_support,betti_curve_change_h1,64,0.8125,0.0,6.0
